epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,12073.3,1.00266,0.76791,1.0675,0.6638,0.33498,0.38046,0.22216,1.70544,1.81442,1.26929,0.000980225,0.000980225,0.000980225
111,12174.2,0.9964,0.75688,1.07451,0.66064,0.38967,0.43199,0.25206,1.64112,1.61484,1.26574,0.00097775,0.00097775,0.00097775
112,12276.8,0.99291,0.76706,1.06809,0.62193,0.35376,0.38166,0.22473,1.73015,1.8348,1.31387,0.000975275,0.000975275,0.000975275
113,12378.4,0.99874,0.74352,1.07135,0.55018,0.38966,0.41003,0.25301,1.64184,1.58312,1.2641,0.0009728,0.0009728,0.0009728
114,12479.9,0.96077,0.72441,1.04495,0.67889,0.36531,0.41922,0.26001,1.5675,1.63972,1.21845,0.000970325,0.000970325,0.000970325
115,12582.3,0.9829,0.71572,1.05569,0.60966,0.40647,0.42316,0.25248,1.67027,1.76447,1.28737,0.00096785,0.00096785,0.00096785
116,12683.4,0.94431,0.69235,1.03147,0.59877,0.41391,0.44198,0.26504,1.64891,1.57828,1.26416,0.000965375,0.000965375,0.000965375
117,12785.1,0.967,0.71226,1.04286,0.66795,0.36752,0.41145,0.25376,1.5806,1.63611,1.22662,0.0009629,0.0009629,0.0009629
118,12886.2,0.98657,0.72306,1.05426,0.57544,0.42534,0.4316,0.2559,1.67323,1.51886,1.27311,0.000960425,0.000960425,0.000960425
119,12987.8,0.96248,0.7018,1.05567,0.65556,0.36263,0.41967,0.26403,1.56842,1.70589,1.21705,0.00095795,0.00095795,0.00095795
120,13090.4,0.98543,0.72652,1.06049,0.66022,0.41342,0.46295,0.28718,1.59659,1.40137,1.23992,0.000955475,0.000955475,0.000955475
121,13199.7,0.99029,0.71801,1.07275,0.6597,0.39044,0.42764,0.2605,1.62536,1.53378,1.26004,0.000953,0.000953,0.000953
122,13303.5,0.95377,0.6972,1.05238,0.62321,0.44686,0.47066,0.27706,1.56399,1.3896,1.2126,0.000950525,0.000950525,0.000950525
123,13407.4,0.96753,0.69659,1.05904,0.62978,0.39005,0.43944,0.25537,1.63817,1.53046,1.24669,0.00094805,0.00094805,0.00094805
124,13513.3,0.9608,0.7087,1.04746,0.58029,0.37326,0.40194,0.2444,1.58123,1.63393,1.22236,0.000945575,0.000945575,0.000945575
125,13613.7,0.9629,0.68715,1.05367,0.56838,0.34287,0.39,0.21006,1.72534,1.69119,1.28344,0.0009431,0.0009431,0.0009431
126,13730.9,0.96775,0.67518,1.04859,0.5624,0.38213,0.4101,0.25024,1.60692,1.61977,1.24613,0.000940625,0.000940625,0.000940625
127,13848.2,0.95129,0.69299,1.05112,0.6288,0.41111,0.4531,0.26759,1.63862,1.58803,1.27477,0.00093815,0.00093815,0.00093815
128,13961.3,0.93391,0.6942,1.04203,0.68837,0.38684,0.44542,0.25954,1.63612,1.53269,1.24376,0.000935675,0.000935675,0.000935675
129,14069.3,0.95364,0.68511,1.05151,0.62467,0.38904,0.43492,0.2653,1.56937,1.61388,1.19445,0.0009332,0.0009332,0.0009332
130,14170.8,0.98698,0.68465,1.06231,0.68281,0.3467,0.4023,0.24725,1.5977,1.76024,1.21169,0.000930725,0.000930725,0.000930725
131,14272.3,0.9467,0.71121,1.032,0.69914,0.35455,0.4339,0.26188,1.59848,1.67053,1.21492,0.00092825,0.00092825,0.00092825
132,14373.4,0.92118,0.66329,1.02808,0.61572,0.36663,0.40672,0.25138,1.57372,1.56378,1.2178,0.000925775,0.000925775,0.000925775
133,14475.5,0.96459,0.68094,1.04803,0.5199,0.34282,0.35984,0.19917,1.79241,1.76774,1.34326,0.0009233,0.0009233,0.0009233
134,14576.7,0.97309,0.67172,1.05311,0.58973,0.32246,0.35503,0.21561,1.67829,1.78389,1.25911,0.000920825,0.000920825,0.000920825
135,14677,0.93859,0.67135,1.04976,0.55856,0.34273,0.37179,0.21656,1.71585,1.64712,1.28795,0.00091835,0.00091835,0.00091835
136,14778.3,0.9491,0.69502,1.04656,0.67722,0.38328,0.43301,0.26141,1.60929,1.68512,1.21979,0.000915875,0.000915875,0.000915875
137,14879.9,0.93452,0.68325,1.0306,0.6146,0.36077,0.39216,0.21461,1.94149,1.64369,1.39423,0.0009134,0.0009134,0.0009134
138,14980.3,0.97392,0.71223,1.05217,0.5225,0.41268,0.41538,0.22966,1.6554,1.47885,1.2582,0.000910925,0.000910925,0.000910925
139,15079.5,0.92928,0.66184,1.03922,0.6361,0.41939,0.45739,0.27654,1.59021,1.43325,1.22876,0.00090845,0.00090845,0.00090845
140,15180.3,0.94004,0.6946,1.04256,0.72005,0.38216,0.45115,0.26846,1.61445,1.4656,1.22036,0.000905975,0.000905975,0.000905975
141,15284.2,0.91485,0.64614,1.02424,0.61628,0.38293,0.42073,0.2402,1.73351,1.59308,1.316,0.0009035,0.0009035,0.0009035
142,15400.6,0.96417,0.65611,1.05558,0.67053,0.37489,0.43618,0.25399,1.71796,1.56003,1.31006,0.000901025,0.000901025,0.000901025
143,15513.5,0.93309,0.65038,1.04112,0.69872,0.38755,0.43962,0.2753,1.56585,1.57109,1.24253,0.00089855,0.00089855,0.00089855
144,15613.6,0.92956,0.64525,1.03611,0.74115,0.41409,0.4776,0.28088,1.63116,1.53805,1.25419,0.000896075,0.000896075,0.000896075
145,15713.7,0.93288,0.64125,1.03036,0.64517,0.45268,0.4898,0.30465,1.50671,1.39655,1.1938,0.0008936,0.0008936,0.0008936
146,15813.4,0.93606,0.6651,1.02755,0.68059,0.42377,0.46789,0.28951,1.57777,1.50378,1.22271,0.000891125,0.000891125,0.000891125
147,15919.4,0.92243,0.66437,1.03529,0.6484,0.42035,0.45812,0.28476,1.58811,1.56697,1.24955,0.00088865,0.00088865,0.00088865
148,16034.6,0.93909,0.66969,1.0343,0.69088,0.37504,0.44111,0.26689,1.61638,1.63821,1.25759,0.000886175,0.000886175,0.000886175
149,16148.5,0.93651,0.64086,1.05004,0.65173,0.37755,0.42639,0.25806,1.66849,1.72243,1.28178,0.0008837,0.0008837,0.0008837
150,16263.5,0.92547,0.63897,1.03958,0.64251,0.3806,0.42934,0.25613,1.66613,1.67403,1.26006,0.000881225,0.000881225,0.000881225
151,16378,0.92245,0.65512,1.03495,0.67251,0.40194,0.45122,0.28397,1.59705,1.5384,1.23159,0.00087875,0.00087875,0.00087875
152,16489.5,0.90484,0.62282,1.03731,0.71156,0.38009,0.45293,0.2896,1.54267,1.37018,1.2179,0.000876275,0.000876275,0.000876275
153,16606.2,0.88734,0.61625,1.02024,0.6529,0.42727,0.47097,0.29831,1.49983,1.36106,1.19027,0.0008738,0.0008738,0.0008738
154,16720.5,0.91016,0.6345,1.02662,0.65615,0.44711,0.49051,0.30022,1.53504,1.42173,1.20065,0.000871325,0.000871325,0.000871325
155,16834.6,0.94004,0.6416,1.03946,0.70853,0.41232,0.44431,0.25538,1.70724,1.69342,1.27359,0.00086885,0.00086885,0.00086885
156,16949.6,0.9523,0.657,1.04317,0.67303,0.40692,0.45339,0.27701,1.59932,1.47133,1.2172,0.000866375,0.000866375,0.000866375
157,17063.9,0.93283,0.65327,1.03267,0.67531,0.39113,0.45485,0.27773,1.57093,1.51917,1.19922,0.0008639,0.0008639,0.0008639
158,17178.9,0.89617,0.62252,1.01209,0.722,0.40256,0.4579,0.28616,1.58221,1.44454,1.23644,0.000861425,0.000861425,0.000861425
159,17279.7,0.90726,0.62336,1.02075,0.65601,0.38231,0.43157,0.26969,1.57021,1.58568,1.21844,0.00085895,0.00085895,0.00085895
160,17380.1,0.89865,0.59899,1.02202,0.62614,0.39025,0.43247,0.2609,1.62744,1.61288,1.24046,0.000856475,0.000856475,0.000856475
161,17481.9,0.91267,0.61135,1.02057,0.68879,0.42311,0.46352,0.29051,1.53513,1.50302,1.19614,0.000854,0.000854,0.000854
162,17583.4,0.89356,0.60587,1.01359,0.66034,0.41908,0.4497,0.28447,1.51994,1.65802,1.19418,0.000851525,0.000851525,0.000851525
163,17685.4,0.92489,0.62283,1.0247,0.70019,0.38398,0.44202,0.28643,1.55125,1.64559,1.23078,0.00084905,0.00084905,0.00084905
164,17797.8,0.9441,0.64757,1.03734,0.64562,0.44692,0.47483,0.30842,1.48515,1.44225,1.18714,0.000846575,0.000846575,0.000846575
165,17910.1,0.90292,0.6105,1.01929,0.66435,0.42364,0.47778,0.29273,1.49032,1.34231,1.17092,0.0008441,0.0008441,0.0008441
166,18023.6,0.95672,0.63552,1.05393,0.68108,0.42452,0.48348,0.28047,1.51345,1.34187,1.1756,0.000841625,0.000841625,0.000841625
167,18137.8,0.90166,0.61733,1.01551,0.66678,0.3936,0.44961,0.28476,1.46504,1.52752,1.17286,0.00083915,0.00083915,0.00083915
168,18254.8,0.90385,0.61324,1.01786,0.67899,0.4266,0.46642,0.26719,1.61011,1.47545,1.2211,0.000836675,0.000836675,0.000836675
169,18371.5,0.9142,0.62902,1.02895,0.71654,0.41536,0.47214,0.27706,1.60397,1.52234,1.22467,0.0008342,0.0008342,0.0008342
170,18488.5,0.90809,0.59251,1.025,0.70974,0.41476,0.46445,0.27834,1.57445,1.43426,1.21366,0.000831725,0.000831725,0.000831725
171,18606.2,0.9412,0.62789,1.04107,0.69308,0.38445,0.44141,0.27504,1.56405,1.44224,1.22871,0.00082925,0.00082925,0.00082925
172,18720.9,0.9223,0.61925,1.03198,0.64654,0.38158,0.44043,0.28088,1.49193,1.52048,1.19685,0.000826775,0.000826775,0.000826775
173,18833.7,0.91785,0.60479,1.02826,0.70092,0.41321,0.46682,0.29468,1.51092,1.48187,1.18655,0.0008243,0.0008243,0.0008243
174,18939,0.89171,0.60541,1.01248,0.75877,0.41033,0.48546,0.30969,1.459,1.47773,1.16158,0.000821825,0.000821825,0.000821825
175,19041.1,0.87191,0.59403,1.00889,0.69022,0.39202,0.45278,0.2884,1.55496,1.4959,1.20499,0.00081935,0.00081935,0.00081935
176,19141.5,0.87828,0.59142,1.01515,0.68591,0.38796,0.44729,0.28055,1.59864,1.52001,1.23839,0.000816875,0.000816875,0.000816875
177,19241.7,0.8891,0.59223,1.00261,0.70214,0.35789,0.43316,0.26619,1.57594,1.70306,1.20155,0.0008144,0.0008144,0.0008144
178,19344,0.8714,0.58845,1.00375,0.64153,0.42556,0.46526,0.28871,1.54761,1.46379,1.18636,0.000811925,0.000811925,0.000811925
179,19445.4,0.88267,0.58499,1.01532,0.73796,0.41117,0.49983,0.30166,1.56844,1.34074,1.19647,0.00080945,0.00080945,0.00080945
180,19546,0.91977,0.59883,1.02454,0.69488,0.42521,0.4826,0.29618,1.53422,1.44866,1.18611,0.000806975,0.000806975,0.000806975
181,19647.3,0.87484,0.57945,1.00997,0.7009,0.39031,0.46333,0.27575,1.57155,1.51976,1.2073,0.0008045,0.0008045,0.0008045
182,19748.7,0.92154,0.59473,1.02889,0.56913,0.39766,0.44173,0.26456,1.56767,1.56471,1.21115,0.000802025,0.000802025,0.000802025
