epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1255.46,1.07206,0.74536,1.3649,0.79211,0.5686,0.66729,0.43676,1.14942,1.40347,1.24913,0.00110645,0.00110645,0.00110645
60,1269.39,1.01829,0.73694,1.33414,0.74672,0.55941,0.62031,0.42483,1.11338,1.4885,1.2509,0.00110397,0.00110397,0.00110397
61,1283.26,0.99241,0.70336,1.29894,0.70902,0.64769,0.67587,0.44966,1.05512,1.29017,1.21609,0.0011015,0.0011015,0.0011015
62,1298.38,1.05911,0.72259,1.33215,0.65302,0.6268,0.66641,0.4136,1.26947,1.38223,1.35588,0.00109903,0.00109903,0.00109903
63,1312.32,1.03736,0.74708,1.34767,0.70125,0.53743,0.63068,0.41296,1.16354,1.41012,1.31055,0.00109655,0.00109655,0.00109655
64,1326.55,1.04006,0.74493,1.34016,0.71937,0.62046,0.67305,0.45561,1.08499,1.3477,1.23659,0.00109408,0.00109408,0.00109408
65,1340.35,0.97085,0.67818,1.28809,0.66782,0.62195,0.67622,0.44147,1.12937,1.33013,1.24484,0.0010916,0.0010916,0.0010916
66,1354.37,1.03616,0.71452,1.31867,0.68841,0.54711,0.61253,0.4017,1.15693,1.51151,1.28985,0.00108913,0.00108913,0.00108913
67,1369.17,1.01137,0.69916,1.30884,0.72314,0.56044,0.66089,0.4289,1.12109,1.27993,1.25278,0.00108665,0.00108665,0.00108665
68,1384.52,1.00927,0.67805,1.30361,0.80546,0.55251,0.66982,0.45113,1.05518,1.41087,1.19135,0.00108417,0.00108417,0.00108417
69,1399.36,0.9969,0.67771,1.2956,0.68966,0.6243,0.69232,0.45664,1.1319,1.25576,1.25235,0.0010817,0.0010817,0.0010817
70,1412.99,0.99339,0.66845,1.30289,0.68907,0.62328,0.65197,0.44788,1.10845,1.25144,1.244,0.00107923,0.00107923,0.00107923
